,_step,train/logps/rejected,train/grad_norm,train/epoch,train/ref_logps/rejected,train/rewards/rejected,train/rewards/accuracies,train/losses/total,_runtime,train/loss,train/logps/chosen,train/losses/sft,_timestamp,train/losses/dpo,train/ref_logps/chosen,train/rewards/margins,train/global_step,train/learning_rate,train/rewards/chosen
64,64,-50.133087158203125,12.310501098632812,0.12,-49.36297607421875,-0.09765711426734924,1.0,0.6713270545005798,529.540476882,0.6809,-43.425018310546875,1.8299643993377686,1769714016.5777946,0.6713270545005798,-42.90745162963867,0.044188641011714935,65,4.873949579831933e-07,-0.05346846580505371
65,65,-49.21905517578125,10.585208892822266,0.12,-48.825439453125,-0.02367849461734295,0.5,0.6952935457229614,537.654482841,0.6911,-35.4843864440918,1.5634900331497192,1769714024.682983,0.6952935457229614,-35.135040283203125,-0.0037052156403660774,66,4.863445378151261e-07,-0.0273837111890316
66,66,-42.060997009277344,11.060630798339844,0.13,-41.45972442626953,-0.05665500462055206,0.75,0.689476490020752,545.484513003,0.6872,-34.959869384765625,1.5880651473999023,1769714032.5226545,0.689476490020752,-34.482635498046875,0.007561195641756058,67,4.852941176470588e-07,-0.049093808978796005
67,67,-43.80535125732422,10.65173625946045,0.13,-43.11943054199219,-0.06563857197761536,0.75,0.6706628799438477,553.631203875,0.6868,-35.2403450012207,1.570372223854065,1769714040.697781,0.6706628799438477,-34.68654251098633,0.04600262641906738,68,4.842436974789916e-07,-0.019635943695902824
68,68,-44.14128875732422,12.853946685791016,0.13,-43.599830627441406,-0.04249415546655655,0.25,0.6948989629745483,561.521482229,0.7005,-44.0418586730957,1.5989048480987549,1769714048.562258,0.6948989629745483,-43.36210632324219,-0.0030806995928287506,69,4.831932773109244e-07,-0.0455748550593853
69,69,-45.223331451416016,11.339592933654785,0.13,-44.54736328125,-0.0849839374423027,0.5,0.6642324328422546,569.338589258,0.6856,-38.85441589355469,1.2301743030548096,1769714056.3704286,0.6642324328422546,-38.341880798339844,0.06027363985776901,70,4.821428571428571e-07,-0.02471029758453369
70,70,-50.58013153076172,11.77570629119873,0.13,-50.004920959472656,-0.04750485718250275,0.25,0.7019370794296265,577.018490899,0.6996,-42.876686096191406,1.2345112562179565,1769714064.0598757,0.7019370794296265,-42.1778450012207,-0.017086535692214966,71,4.810924369747899e-07,-0.06459139287471771
71,71,-47.282318115234375,12.8965425491333,0.14,-46.47620391845703,-0.06259947270154953,0.75,0.6837701797485352,584.76756978,0.6941,-41.72319412231445,1.3965706825256348,1769714071.8340738,0.6837701797485352,-40.90968322753906,0.019104421138763428,72,4.800420168067227e-07,-0.043495044112205505
72,72,-41.892601013183594,11.541253089904785,0.14,-41.13081359863281,-0.0831824392080307,0.75,0.6934828758239746,592.573150697,0.6863,-38.540138244628906,1.5989267826080322,1769714079.6397488,0.6934828758239746,-37.924110412597656,6.454065442085266e-05,73,4.789915966386554e-07,-0.08311789482831955
73,73,-48.572105407714844,11.885638236999512,0.14,-47.73374557495117,-0.04849717766046524,0.75,0.6893854141235352,600.232498769,0.6869,-40.0220947265625,1.2591317892074585,1769714087.2629795,0.6893854141235352,-39.32075500488281,0.007840337231755257,74,4.779411764705882e-07,-0.040656838566064835
74,74,-40.2807731628418,10.632718086242676,0.14,-39.458213806152344,-0.06333446502685547,0.75,0.6851900815963745,608.042490865,0.6788,-33.52226257324219,1.3485791683197021,1769714095.0836792,0.6851900815963745,-33.004417419433594,0.01892958953976631,75,4.76890756302521e-07,-0.04440487176179886
75,75,-51.61188507080078,11.523600578308105,0.14,-50.76005935668945,-0.04207422956824303,0.25,0.721650242805481,615.679455452,0.6846,-43.05316925048828,1.3861085176467896,1769714102.711577,0.721650242805481,-42.384925842285156,-0.05412106215953827,76,4.7584033613445373e-07,-0.0961952954530716
76,76,-47.532989501953125,12.593209266662598,0.15,-46.560829162597656,-0.11350526660680771,0.75,0.6759188175201416,623.498056052,0.6863,-45.29688262939453,1.9296196699142456,1769714110.564623,0.6759188175201416,-44.47528076171875,0.03673138841986656,77,4.747899159663865e-07,-0.07677388936281204
77,77,-45.794002532958984,11.726197242736816,0.15,-44.801002502441406,-0.06760258972644806,0.25,0.7058972120285034,631.32550992,0.6831,-39.77385711669922,1.8468194007873535,1769714118.3600242,0.7058972120285034,-38.992950439453125,-0.024111982434988022,78,4.737394957983193e-07,-0.09171457588672638
78,78,-43.312808990478516,11.611849784851074,0.15,-42.25830841064453,-0.09013096988201141,0.5,0.6840766668319702,638.988531153,0.6863,-40.880104064941406,1.6099365949630737,1769714126.027388,0.6840766668319702,-39.9784049987793,0.01999831013381481,79,4.726890756302521e-07,-0.07013265788555145
79,79,-56.836692810058594,13.049551010131836,0.15,-55.77508544921875,-0.1494077742099762,0.75,0.6994490623474121,647.184484118,0.6916,-48.044273376464844,1.875133752822876,1769714134.2180564,0.6994490623474121,-47.03426742553711,-0.008886866271495819,80,4.7163865546218485e-07,-0.15829463303089142
80,80,-42.80119323730469,10.588988304138184,0.15,-41.80626678466797,-0.06652293354272842,0.5,0.6955952048301697,655.012352256,0.6807,-34.95273208618164,1.3058401346206665,1769714142.0789235,0.6955952048301697,-34.2192268371582,-0.0038981428369879723,81,4.705882352941176e-07,-0.07042107731103897
81,81,-38.68817138671875,11.073163986206055,0.16,-37.69862365722656,-0.052244484424591064,0.25,0.7058446407318115,662.75406409,0.6892,-40.201778411865234,1.3792695999145508,1769714149.8205557,0.7058446407318115,-39.3017463684082,-0.02388101816177368,82,4.695378151260504e-07,-0.07612550258636475
82,82,-34.569602966308594,10.013428688049316,0.16,-33.74066162109375,-0.05816745385527611,0.25,0.7093919515609741,670.449456435,0.6887,-34.83019256591797,1.290916919708252,1769714157.4896998,0.7093919515609741,-34.102561950683594,-0.031559284776449203,83,4.6848739495798315e-07,-0.08972673863172531
83,83,-48.048377990722656,12.513726234436035,0.16,-46.79471969604492,-0.1152474582195282,0.25,0.7169535756111145,678.298475222,0.6792,-42.018638610839844,1.578367829322815,1769714165.3294291,0.7169535756111145,-41.060462951660156,-0.04667305201292038,84,4.6743697478991597e-07,-0.16192051768302917
84,84,-44.72816467285156,12.069737434387207,0.16,-43.99309539794922,-0.05467365309596062,0.5,0.6808563470840454,686.128537925,0.7002,-40.922019958496094,1.237215280532837,1769714173.1628344,0.6808563470840454,-40.06053924560547,0.025215961039066315,85,4.6638655462184874e-07,-0.02945769391953945
85,85,-48.182037353515625,12.012575149536133,0.16,-46.86219024658203,-0.2041621208190918,1.0,0.6387926340103149,693.860211042,0.6728,-38.096527099609375,1.6073471307754517,1769714180.9267712,0.6387926340103149,-37.20831298828125,0.1141427755355835,86,4.653361344537815e-07,-0.0900193452835083
86,86,-51.49036407470703,12.677966117858887,0.16,-50.225013732910156,-0.10464277863502502,0.5,0.7090755701065063,701.636472335,0.69,-44.707027435302734,1.498133897781372,1769714188.6778035,0.7090755701065063,-43.530128479003906,-0.02611255645751953,87,4.6428571428571427e-07,-0.13075532019138336
87,87,-37.80008316040039,10.359784126281738,0.17,-36.751380920410156,-0.16930270195007324,0.5,0.6638720631599426,709.446520096,0.6918,-32.846858978271484,1.432698130607605,1769714196.476091,0.6638720631599426,-31.842552185058594,0.06263424456119537,88,4.6323529411764704e-07,-0.10666846483945847
88,88,-56.593536376953125,12.822330474853516,0.17,-55.09775161743164,-0.16120672225952148,0.25,0.6997218132019043,717.834489954,0.6798,-42.46192932128906,1.609765648841858,1769714204.8734727,0.6997218132019043,-41.25694274902344,-0.011478137224912643,89,4.6218487394957986e-07,-0.17268486320972443
89,89,-42.173316955566406,11.505316734313965,0.17,-41.17719650268555,-0.10831985622644424,0.5,0.7197418212890625,725.67997231,0.7013,-39.11302947998047,1.3657363653182983,1769714212.7464998,0.7197418212890625,-37.98756408691406,-0.049824196845293045,90,4.6113445378151263e-07,-0.1581440567970276
90,90,-43.328269958496094,11.298497200012207,0.17,-42.15409851074219,-0.029881644994020462,0.25,0.7078784704208374,733.491656978,0.692,-38.76678466796875,1.0718222856521606,1769714220.5581627,0.7078784704208374,-37.64337158203125,-0.02899976074695587,91,4.6008403361344534e-07,-0.058881405740976334
91,91,-43.1227912902832,12.1417236328125,0.17,-41.840084075927734,-0.08955781906843185,0.5,0.7010498046875,741.696519327,0.687,-39.712608337402344,1.5442688465118408,1769714228.724974,0.7010498046875,-38.58287048339844,-0.012888142839074135,92,4.590336134453781e-07,-0.10244596004486084
